algorithm,round,train_loss,MAE,RMSE,R2,PPA
FedNova,44,114.20098648071288,18.089265823364258,20.349525299909104,-3.601146697998047,0.0
FedNova,45,96.7097282409668,18.41265106201172,21.50900576738875,-4.140414714813232,11.11111111111111
FedNova,46,97.74544219970703,19.47333526611328,23.305415572770446,-5.034915924072266,11.11111111111111
FedNova,47,92.37181243896484,17.806989669799805,20.461486366254192,-3.6519155502319336,22.22222222222222
FedNova,48,109.67359008789063,20.335901260375977,24.744889781781207,-5.803439617156982,22.22222222222222
FedNova,49,93.4072422027588,18.332223892211914,20.899668480100946,-3.853290557861328,11.11111111111111
FedNova,50,65.43968658447265,19.264236450195312,22.403189350322563,-4.5766987800598145,11.11111111111111
FedCrit-HEA,1,1720.34111328125,42.0,43.05810028322197,-19.600000381469727,0.0
FedCrit-HEA,2,237.17588958740234,20.915470123291016,27.67390855740746,-7.509390830993652,22.22222222222222
FedCrit-HEA,3,112.09928817749024,18.898775100708008,24.845515120078137,-5.858884811401367,33.33333333333333
FedCrit-HEA,4,91.08540420532226,18.63501739501953,23.697620333541007,-5.239746570587158,33.33333333333333
FedCrit-HEA,5,104.32709426879883,17.516508102416992,20.50949249071177,-3.673769474029541,22.22222222222222
FedCrit-HEA,6,106.60735511779785,14.6578369140625,17.760324833279196,-2.5047683715820312,22.22222222222222
FedCrit-HEA,7,109.17645263671875,14.99130630493164,17.692037155481486,-2.4778687953948975,11.11111111111111
FedCrit-HEA,8,70.4906436920166,15.596623420715332,17.662138640533367,-2.4661238193511963,22.22222222222222
FedCrit-HEA,9,65.49682273864747,16.449037551879883,19.00065290433504,-3.0113868713378906,22.22222222222222
FedCrit-HEA,10,77.01836929321288,16.452539443969727,18.42482018971793,-2.7719335556030273,22.22222222222222
FedCrit-HEA,11,130.91992721557617,17.541553497314453,19.574276825273056,-3.2572479248046875,22.22222222222222
FedCrit-HEA,12,71.83129119873047,17.16722297668457,19.23512624827582,-3.1110010147094727,11.11111111111111
FedCrit-HEA,13,68.10795440673829,15.734493255615234,17.97846544415186,-2.591391086578369,22.22222222222222
FedCrit-HEA,14,107.00650405883789,16.01374053955078,18.14816592699306,-2.659510374069214,11.11111111111111
FedCrit-HEA,15,111.27922210693359,18.52736473083496,20.74193223124468,-3.780308246612549,22.22222222222222
FedCrit-HEA,16,99.25771484375,14.84839916229248,17.005578416085264,-2.213218927383423,11.11111111111111
FedCrit-HEA,17,96.05529556274413,15.95456600189209,17.856632212285824,-2.5428812503814697,11.11111111111111
FedCrit-HEA,18,115.87371673583985,15.986384391784668,18.08120044605204,-2.6325533390045166,11.11111111111111
FedCrit-HEA,19,89.06626358032227,15.444193840026855,17.448190782206208,-2.382659673690796,11.11111111111111
FedCrit-HEA,20,115.85190505981446,16.906997680664062,19.214538410488164,-3.102205276489258,11.11111111111111
FedCrit-HEA,21,112.1212760925293,15.042451858520508,17.04129935741587,-2.226731777191162,11.11111111111111
FedCrit-HEA,22,105.88655471801758,16.32938575744629,18.361131066282468,-2.745901346206665,11.11111111111111
FedCrit-HEA,23,115.32843914031983,16.466636657714844,18.49384184747174,-2.800246477127075,11.11111111111111
FedCrit-HEA,24,78.33052062988281,16.22393226623535,18.21839237025706,-2.687886953353882,11.11111111111111
FedCrit-HEA,25,64.25690231323242,17.4622745513916,19.910154334044442,-3.4046030044555664,11.11111111111111
FedCrit-HEA,26,93.22423248291015,15.775547981262207,17.606690331620925,-2.444395065307617,11.11111111111111
FedCrit-HEA,27,80.88588104248046,16.08169937133789,18.085569650686807,-2.6343092918395996,11.11111111111111
FedCrit-HEA,28,80.04422531127929,15.63723087310791,17.50731397103704,-2.405622720718384,11.11111111111111
FedCrit-HEA,29,113.83787078857422,16.571491241455078,18.5931648739341,-2.8411753177642822,11.11111111111111
FedCrit-HEA,30,87.75809860229492,17.252208709716797,19.861638406128062,-3.3831629753112793,22.22222222222222
FedCrit-HEA,31,83.75026626586914,16.940824508666992,19.34619361837184,-3.1586132049560547,11.11111111111111
FedCrit-HEA,32,87.50153579711915,16.76698875427246,19.125910319685193,-3.0644493103027344,22.22222222222222
FedCrit-HEA,33,78.45953750610352,15.871500968933105,18.32571715321634,-2.7314655780792236,22.22222222222222
FedCrit-HEA,34,76.94880523681641,15.84287166595459,18.240492761213307,-2.6968398094177246,22.22222222222222
FedCrit-HEA,35,105.55620079040527,17.005048751831055,19.650917773374797,-3.2906508445739746,22.22222222222222
FedCrit-HEA,36,75.4920555114746,16.69611358642578,19.30000923433231,-3.1387815475463867,22.22222222222222
FedCrit-HEA,37,133.91343154907227,16.287904739379883,18.938578055639006,-2.9852192401885986,11.11111111111111
